City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Upernavik,GL,72.7868,-56.1549,-9.69,85,68,6.22,broken clouds
179,Caravelas,BR,-17.7125,-39.2481,75.24,87,0,5.23,clear sky
180,Beloha,MG,-25.1667,45.05,74.05,83,0,4.9,clear sky
181,Kyra,RU,49.5776,111.9753,6.6,92,100,5.23,light snow
182,Cockburn Town,TC,21.4612,-71.1419,73.29,69,0,20.38,clear sky
183,Ak-Dovurak,RU,51.1833,90.6,0.77,78,0,1.48,clear sky
184,Leninskoye,KZ,41.7589,69.3864,51.8,40,0,4.61,clear sky
185,Sao Filipe,CV,14.8961,-24.4956,74.35,60,100,9.86,overcast clouds
186,Gornopravdinsk,RU,60.05,69.9,6.82,94,100,10.0,overcast clouds
187,Port Alfred,ZA,-33.5906,26.891,62.01,92,0,1.97,clear sky
188,Komsomolskiy,UZ,40.4272,71.7189,32.0,55,100,6.91,overcast clouds
189,Sabha,LY,27.0377,14.4283,54.72,42,0,6.44,clear sky
190,Kehra,EE,59.3361,25.3211,23.0,93,90,8.05,light snow
191,Alugan,PH,12.2188,125.4808,80.33,74,100,19.3,overcast clouds
192,Itoman,JP,26.1247,127.6694,68.0,52,20,12.66,few clouds
193,Ciudad Bolivar,VE,8.1222,-63.5497,77.9,74,18,13.91,few clouds
194,Lompoc,US,34.6391,-120.4579,51.8,82,1,5.75,clear sky
195,Bahia Blanca,AR,-38.7196,-62.2724,59.85,54,44,12.08,scattered clouds
196,Darhan,MN,49.4867,105.9228,-2.61,86,100,9.13,overcast clouds
197,Touho,NC,-20.7833,165.2333,79.59,73,4,16.75,clear sky
198,Hamilton,US,39.1834,-84.5333,32.0,93,90,5.75,snow
199,Vredendal,ZA,-31.6683,18.5012,56.84,93,1,0.96,clear sky
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.56,80,1,21.16,clear sky
201,Nome,US,64.5011,-165.4064,-5.8,77,1,4.61,clear sky
202,Auburn,US,47.3073,-122.2284,46.99,87,90,5.75,overcast clouds
203,Iqaluit,CA,63.7506,-68.5145,-7.01,71,1,18.41,clear sky
204,Mar Del Plata,AR,-38.0023,-57.5575,62.01,51,0,18.41,clear sky
205,Gorom-Gorom,BF,14.4439,-0.2361,69.84,20,0,8.95,clear sky
206,Kibaya,TZ,-5.3,36.5667,58.44,100,83,3.18,broken clouds
207,Codrington,AU,-38.2667,141.9667,65.97,57,0,9.89,clear sky
208,Kholmogory,RU,64.2229,41.656,23.0,93,90,4.47,snow
209,Airai,TL,-8.9266,125.4092,63.73,100,100,6.11,overcast clouds
210,Palpa,PE,-14.5336,-75.1856,77.07,44,100,2.59,overcast clouds
211,Victoria,HK,22.2855,114.1577,66.99,61,0,1.01,clear sky
212,Katherine,AU,-14.4667,132.2667,86.0,70,75,13.8,broken clouds
213,Talnakh,RU,69.4865,88.3972,-31.25,71,0,7.23,clear sky
214,Saint-Leu,RE,-21.15,55.2833,77.0,61,2,0.54,clear sky
215,Bondo,CD,3.8146,23.6866,65.61,38,100,1.21,overcast clouds
216,Kudahuvadhoo,MV,2.6708,72.8944,81.28,76,20,12.24,few clouds
217,Veraval,IN,20.9,70.3667,64.8,30,0,12.33,clear sky
