City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Biu,10.6129,12.1946,67.55,23,0,12.17,NG,2021-01-29 22:37:07
131,Mountain Home,43.133,-115.6912,39.2,89,90,14.79,US,2021-01-29 22:37:00
132,Honningsvag,70.9821,25.9704,21.2,79,0,6.91,NO,2021-01-29 22:34:36
133,Saldanha,-33.0117,17.9442,64.27,91,0,10.2,ZA,2021-01-29 22:37:07
134,Hambantota,6.1241,81.1185,75.51,82,100,10.92,LK,2021-01-29 22:32:28
135,Hasaki,35.7333,140.8333,33.8,40,20,14.97,JP,2021-01-29 22:37:07
136,Longyearbyen,78.2186,15.6401,-0.4,55,20,24.16,SJ,2021-01-29 22:37:08
137,Cape Town,-33.9258,18.4232,70.0,82,20,8.05,ZA,2021-01-29 22:32:14
138,Port Elizabeth,-33.918,25.5701,62.6,82,0,4.61,ZA,2021-01-29 22:32:52
139,Pisco,-13.7,-76.2167,77.0,69,0,18.41,PE,2021-01-29 22:37:08
140,Harper,4.375,-7.7169,78.1,86,88,5.57,LR,2021-01-29 22:33:27
141,Chumikan,54.7183,135.315,-13.97,88,100,10.71,RU,2021-01-29 22:37:08
142,Klaksvik,62.2266,-6.589,30.2,74,90,4.61,FO,2021-01-29 22:37:08
143,Barrow,71.2906,-156.7887,-9.4,70,90,11.5,US,2021-01-29 22:37:08
144,Cabo San Lucas,22.8909,-109.9124,84.99,60,1,13.8,MX,2021-01-29 22:37:08
145,Srikakulam,18.3,83.9,70.03,83,16,4.81,IN,2021-01-29 22:37:09
146,Cervo,43.6702,-7.4101,54.0,91,100,7.0,ES,2021-01-29 22:37:09
147,Jalu,29.0331,21.5482,55.31,69,0,9.04,LY,2021-01-29 22:37:09
148,Kaele,10.1092,14.4508,74.79,17,0,15.79,CM,2021-01-29 22:37:09
149,Quepos,9.4236,-84.1652,75.2,52,20,21.85,CR,2021-01-29 22:32:14
150,Kampong Thum,12.7111,104.8887,66.06,68,92,4.56,KH,2021-01-29 22:35:31
151,Ampanihy,-24.7,44.75,75.24,87,24,3.76,MG,2021-01-29 22:37:09
152,Clarence Town,-32.5833,151.7833,77.0,83,40,6.91,AU,2021-01-29 22:37:10
153,Ilebo,-4.3167,20.5833,73.22,81,94,1.59,CD,2021-01-29 22:37:10
154,Pochutla,15.7432,-96.4661,93.2,38,40,11.5,MX,2021-01-29 22:37:10
155,Nagai,38.1036,140.035,26.01,85,95,1.99,JP,2021-01-29 22:37:10
156,Starychi,49.98,23.5585,26.6,80,75,6.71,UA,2021-01-29 22:37:10
157,Camopi,3.1655,-52.3158,73.35,97,99,3.11,GF,2021-01-29 22:37:10
158,Talara,-4.5772,-81.2719,76.15,77,8,13.35,PE,2021-01-29 22:35:12
159,Luang Prabang,19.8856,102.1347,62.69,85,58,0.87,LA,2021-01-29 22:37:11
160,Maryville,35.7565,-83.9705,42.8,36,1,8.05,US,2021-01-29 22:35:50
161,Airai,-8.9266,125.4092,62.8,100,100,4.23,TL,2021-01-29 22:37:11
162,Znamenskoye,57.1281,73.8282,-1.57,90,100,6.98,RU,2021-01-29 22:37:11
163,Rundu,-17.9333,19.7667,68.13,89,96,3.74,NA,2021-01-29 22:37:11
164,Mitu,1.1983,-70.1733,80.67,73,41,2.37,CO,2021-01-29 22:37:11
165,Kaitangata,-46.2817,169.8464,57.0,68,82,4.0,NZ,2021-01-29 22:37:11
166,Chara,56.9064,118.2631,-39.44,76,89,0.09,RU,2021-01-29 22:37:12
167,Toamasina,-18.1667,49.3833,77.0,94,75,9.22,MG,2021-01-29 22:37:12
